SKU,Stock_Level,Quantity,Equal
AMRS270,0,0,True
AMRS308,0,0,True
AMRS708,0,0,True
AMRSL22250,0,0,True
AMRSL223,0,0,True
AMRSL243,0,0,True
AMRSL3006,0,0,True
AMRSL708,0,0,True
AMRX223,14,0,False
AMRX243,0,0,True
AMRX270,0,0,True
AMRX3006,0,0,True
AMRX308,23,0,False
ANS-16C,1,0,False
4046654014853,4,0,False
AOP55,2,0,False
736676900459,0,0,True
736676902293,29,0,False
ARMS-21,0,0,True
ARMS-22-34,0,0,True
ARMS-22L,0,0,True
ARMS-22M,0,0,True
ARMS-35LOW,0,0,True
ARMS-37,0,0,True
ATA52,14,0,False
ATA53,63,0,False
ATA54,69,0,False
ATA55,8,0,False
ATA56,6,0,False
ATA686B,154,0,False
ATA686BA,1,0,False
ATA686BC,0,0,True
ATA686CAMO,0,0,True
ATA686EL,0,0,True
ATA686S20,0,0,True
ATA75,1,0,False
ATAA11,0,0,True
ATACYS,0,0,True
ATACYW,0,0,True
ATAN02,2,0,False
ATARECOIL,0,0,True
ATP61,0,0,True
ATP65,0,0,True
AX22250,0,0,True
AX223,0,0,True
AX243,0,0,True
AX270,0,0,True
AX3006,0,0,True
AX308,0,0,True
AX65,0,0,True
AXIIXP22250,0,0,True
AXIIXP223,0,0,True
AXIIXP270,0,0,True
AXIIXP3006,0,0,True
AXIIXP65,0,0,True
AXIIXPH22250,2,0,False
AXIIXPH223,20,0,False
AXIIXPH243,7,0,False
AXIIXPH2506,0,0,True
AXIIXPH270,2,0,False
AXIIXPH3006,4,0,False
AXIIXPH308,4,0,False
AXIIXPH65,6,0,False
AXIIXPH708,0,0,True
AXIIXPS22250,0,0,True
AXIIXPS223,0,0,True
AXIIXPS243,0,0,True
AXIIXPS2506,0,0,True
AXIIXPS270,0,0,True
AXIIXPS3006,0,0,True
AXIIXPS308,0,0,True
AXIIXPS65,0,0,True
AXIIXPS708,0,0,True
AXIIXPY243,0,0,True
AXIIXPYMG243,0,0,True
AXL22250,0,0,True
AXL223,0,0,True
AXL243,0,0,True
011356196484,0,0,True
AXL3006,0,0,True
AXL308,0,0,True
AXL65,0,0,True
AXSXP22250,0,0,True
AXSXP223,0,0,True
AXSXP243,0,0,True
AXSXP270,0,0,True
AXSXP3006,0,0,True
AXSXP308,0,0,True
AXXP22250,0,0,True
AXXP223,0,0,True
AXXP243,0,0,True
AXXP3006,0,0,True
AXXP308,0,0,True
AXXP65,0,0,True
AXXPC22250,0,0,True
AXXPC223,0,0,True
AXXPC243,0,0,True
AXXPC270,0,0,True
AXXPC3006,0,0,True
AXXPC308,0,0,True
AXXPC65,0,0,True
AXXPMG223,0,0,True
AXXPMG243,0,0,True
AXXPMG708,0,0,True
AXXPY223,0,0,True
AXXPY243,0,0,True
AXY223,0,0,True
AXY243,0,0,True
666692151170,0,0,True
666692122101,0,0,True
666692122118,345,0,False
666692122125,5,0,False
666692122019,0,0,True
666692122026,23,0,False
666692122033,0,0,True
666692122170,1,0,False
666692122187,6,0,False
666692122132,9,0,False
666692122545,9,0,False
666692122385,16,0,False
666692122224,149,0,False
666692122996,0,0,True
666692122361,7,0,False
666692122088,5,0,False
666692122064,40,0,False
666692122040,23,0,False
666692122231,24,0,False
666692122989,0,0,True
666692122569,3,0,False
666692122583,1,0,False
666692151521,0,0,True
666692122873,0,0,True
666692122248,6,0,False
666692122194,0,0,True
666692122460,0,0,True
666692122149,8,0,False
666692122279,8,0,False
666692122293,51,0,False
666692122637,0,0,True
666692122729,0,0,True
666692122842,2,0,False
666692122378,2,0,False
666692122965,1,0,False
666692122262,11,0,False
666692122286,25,0,False
666692122255,6,0,False
666692161124,0,0,True
666692122071,0,0,True
666692151538,5,0,False
666692161353,0,0,True
666692122507,7,0,False
666692122309,5,0,False
666692161193,48,0,False
666692151590,0,0,True
666692122484,3,0,False
666692161285,0,0,True
666692122613,0,0,True
666692151132,0,0,True
666692161186,30,0,False
666692151583,11,0,False
666692122217,0,0,True
666692151149,66,0,False
666692122156,8,0,False
666692122880,0,0,True
666692114014,1,0,False
666692161278,0,0,True
666692161230,0,0,True
666692122705,0,0,True
666692161209,1,0,False
666692161216,0,0,True
666692122316,10,0,False
666692161261,0,0,True
666692122095,0,0,True
666692122675,0,0,True
666692151156,2,0,False
666692161247,13,0,False
666692151187,0,0,True
666692161292,0,0,True
666692114052,0,0,True
666692161469,0,0,True
666692122958,0,0,True
666692161445,0,0,True
666692122163,0,0,True
666692114519,0,0,True
666692122910,0,0,True
666692123009,36,0,False
666692122514,3,0,False
666692114120,0,0,True
666692122767,0,0,True
666692122477,2,0,False
666692122811,1,0,False
666692122347,1,0,False
666692122330,2,0,False
666692122644,0,0,True
666692114144,0,0,True
666692122521,0,0,True
666692122774,0,0,True
666692122057,0,0,True
666692122323,4,0,False
666692122422,5,0,False
666692122934,0,0,True
666692122446,0,0,True
666692122354,0,0,True
666692122651,2,0,False
666692122408,2,0,False
666692122699,0,0,True
666692151163,135,0,False
B17F,6,0,False
B17FV,4,0,False
B17FVSR,1,0,False
B17FVSS,5,0,False
B17G,0,0,True
B22F,43,0,False
B22FV,14,0,False
B22FVSR,6,0,False
B22FVSS,5,0,False
B22G,0,0,True
B22MF,8,0,False
B22MFV,5,0,False
B22MFVSR,0,0,True
B22MFVSS,6,0,False
B22MG,0,0,True
034337024972,0,0,True
0A206,0,0,True
98205,0,0,True
BAR98206,1,0,False
98304,0,0,True
816715017277,0,0,True
BARF243,0,0,True
816715017413,0,0,True
816715017291,0,0,True
BARM98B300B,0,0,True
14800,0,0,True
14804,0,0,True
BARM98B30822B,0,0,True
14805,0,0,True
14798,0,0,True
14802,0,0,True
14839,0,0,True
BARM98MAG,0,0,True
13319,1,0,False
13320,0,0,True
7232741021,0,0,True
729806355328,0,0,True
729806355335,0,0,True
729806355359,0,0,True
729806355366,0,0,True
729806355373,1,0,False
729806355380,2,0,False
729806355397,3,0,False
729806355403,0,0,True
729806355427,0,0,True
729806355434,0,0,True
729806355441,0,0,True
729806355465,1,0,False
729806355472,4,0,False
729806355496,3,0,False
729806355502,0,0,True
729806355540,0,0,True
9780976124474,0,0,True
011516971005,0,0,True
011516970046,0,0,True
011516965004,0,0,True
011516971111,5,0,False
054041500081,0,0,True
BMAGBL,0,0,True
BMAGBS,1,0,False
BMAGBV,4,0,False
BMAGBVB,3,0,False
BMAGSVT,45,0,False
BN31L,0,0,True
BN34L,0,0,True
BN36L,2,0,False
BN36XL,0,0,True
736676004553,0,0,True
034337024552,7,0,False
054041510103,0,0,True
054041510318,0,0,True
054041510509,14,0,False
054041510752,0,0,True
054041511001,0,0,True
